State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MO,86623505,89055583,94702994,99930623,97663001,100896629,107210528,111352610,110870302,110015926,104522317,101825454,101152694,102644789,106310531,100658643,98796597,101456297,105337717,105700045,102844528,103268744,103065575,101194871,108823735,115960566,122463196,125959646,131010406,131602305,126736892,132532749,133179559,140703737,141785756,144480498,143102677,141631006,138348667,132077267,136905930,136764669,129057484,133935603,133452435,124747331,119029025,124498489,124780532,116985714
MT,14363413,14857172,15696034,16992767,16553023,16812151,19427348,20618472,21297999,22733115,20292687,18691071,16359186,16632456,20639261,22143870,23507404,23546206,28642119,29053293,27956948,29168213,30528283,28075687,31004799,30685144,27927380,29883363,32074242,32830272,31774304,32054227,31022175,33170593,34828719,35874292,36018919,38022110,37228163,33136408,34954549,32051096,30761312,32128839,32577021,32531645,31140192,31248910,31257967,32285395
NE,27528359,27514660,29478532,30177315,29060732,28715233,31208839,31210965,30816026,31613262,30175760,28428608,28799240,29910485,31600870,30545951,28939740,30102633,34027173,32474518,32835863,33726400,32623425,35916921,35839306,38404128,39568552,40910483,42922430,41728750,41674229,42906280,42350331,43633680,43404561,43783495,44299429,44618233,46647185,47305404,50007194,52445866,50622033,53464579,52153588,50710576,48354668,47873539,52355010,50470084
NV,10772383,13792236,18920970,20098947,20400780,20951608,22234382,23724884,22534875,23454029,22362445,23879734,25365888,25212539,26476468,23469069,27112492,27462285,31395155,31410171,30735903,32661090,33676275,34077176,36305714,35483105,38218602,38155163,40820979,41432000,45633487,44797734,41682846,43972175,48099268,50182467,41683270,41837358,40960143,39506347,41392628,37909869,37924564,39736681,40555879,38517135,39975842,40204306,41383070,41742593
NH,12826134,13358687,14089851,13602835,12589763,12585505,13648030,14104821,13558943,12909331,12795870,11515035,11228400,11212797,13041430,13261930,13950734,15217658,15671688,15870084,14604948,14290033,14413281,14881519,14940082,15056846,15253145,16507953,16530060,16697397,17469454,16954950,17673822,21030173,21974130,21258965,19398436,19183718,18733927,17081568,16751186,16359503,14730569,14448402,15154741,15278567,13814457,13510192,14239732,13933801
NJ,129518702,124965712,127885423,131493065,119847413,105966674,117161989,113163708,111057372,109843878,110964359,107546126,109602059,111111738,117246726,112197068,114207795,118685047,116987270,121604158,109914238,110637255,117500797,114533792,124061459,123741865,123857085,125471703,120932874,124246992,124572492,121324286,121025912,123515747,126063230,130594629,123092508,130781920,128295837,111503836,105563228,105024532,98973601,100422327,104876309,103660000,105637297,99346282,105068884,100831985
NM,34954894,37225896,39673178,40045907,40549838,39188332,41966911,41722399,40107851,40569561,44906686,44071514,45173226,48667116,45992458,46626053,43172411,46353378,48064661,50353990,52833441,48218732,50969450,51839943,51749599,50369039,52491246,55834961,55388302,56305087,58262720,58385094,55480613,57882091,58931407,59493336,60398786,59029736,56790718,57731593,53908605,56278251,54188931,53754953,50590772,50691832,48849375,49616666,45853909,48942081
NY,284897557,277043032,274084695,280361548,258780901,244452742,262584811,259804163,254526034,233181939,221861502,205836573,195586324,178039565,183051848,187911225,190689336,201583708,208939511,213851552,207313723,199555286,199088634,193673205,191704786,197356762,199874753,204159369,203050383,205749182,212229801,207955059,202179307,213038278,215350291,211494697,193747192,199899107,190065723,174062405,185011227,175315608,167891905,169097246,176209514,174359924,170174255,165818296,175096965,168971286
NC,97273795,99188806,104457774,109003361,104248337,95209484,106006245,108196555,103119986,110685470,112666491,112552947,108258034,107698394,109269243,107213105,112510417,107611001,111883260,115818606,111214796,110866313,121444018,126793703,121878792,128293149,140192187,142311312,142073496,140793943,149129168,144295602,145650409,147225620,150173100,154164385,148569454,154441328,149037706,132989667,147166378,132644616,124494480,126187011,129255531,124778284,124915289,121142408,124212734,122604303
ND,14751617,15917127,16863674,16399350,16875316,16214761,18614310,19918659,22390773,24893500,25500363,26949286,28847212,30096155,34379854,38218320,38960416,39505881,44452156,44152426,44902327,45846878,47644508,47919482,48228516,48123122,48988762,47612181,48820944,49871491,51324291,52009103,51876339,51647839,50078546,53043191,51293575,53038942,53424836,51989343,52825116,54309879,56685058,57243277,59278155,57923060,54933886,56917905,59282972,57152889
